split,file,class_id,x_center,y_center,width,height,area
train,img-100_jpg.rf.233751cac3399aa80b5e58a2afbb753a.txt,0,0.46319444444444446,0.45694444444444443,0.2763888888888889,0.16111111111111112,0.044529320987654324
train,img-101_jpg.rf.f213d98946c4f8858a5bf3200c89e39c.txt,0,0.4305555555555556,0.5090277777777777,0.23055555555555557,0.17916666666666667,0.04130787037037037
train,img-101_jpg.rf.f213d98946c4f8858a5bf3200c89e39c.txt,0,0.6590277777777778,0.5041666666666667,0.21805555555555556,0.13055555555555556,0.028468364197530866
train,img-102_jpg.rf.16c56ff8f761aec963d9b57aa1b2d3fd.txt,0,0.5,0.5513888888888889,0.3638888888888889,0.4222222222222222,0.15364197530864196
train,img-103_jpg.rf.09abf1a8e3477718e143255af3534d29.txt,0,0.5145833333333333,0.4270833333333333,0.2986111111111111,0.1597222222222222,0.047694830246913573
train,img-108_jpg.rf.a35e86abc558a98f252bfc10e49fd6d9.txt,0,0.4930555555555556,0.3625,0.2388888888888889,0.17777777777777778,0.04246913580246914
train,img-108_jpg.rf.a35e86abc558a98f252bfc10e49fd6d9.txt,0,0.3715277777777778,0.4076388888888889,0.10138888888888889,0.09305555555555556,0.00943479938271605
train,img-108_jpg.rf.a35e86abc558a98f252bfc10e49fd6d9.txt,0,0.7520833333333333,0.28055555555555556,0.08194444444444444,0.044444444444444446,0.0036419753086419752
train,img-108_jpg.rf.a35e86abc558a98f252bfc10e49fd6d9.txt,0,0.45,0.8791666666666667,0.1638888888888889,0.16944444444444445,0.02777006172839506
train,img-108_jpg.rf.a35e86abc558a98f252bfc10e49fd6d9.txt,0,0.9652777777777778,0.7104166666666667,0.06666666666666667,0.0875,0.005833333333333333
train,img-109_jpg.rf.add373710d0d425bd9340c33878e7d42.txt,0,0.5458333333333333,0.40208333333333335,0.15833333333333333,0.12916666666666668,0.02045138888888889
train,img-109_jpg.rf.add373710d0d425bd9340c33878e7d42.txt,0,0.5097222222222222,0.6166666666666667,0.2388888888888889,0.23055555555555557,0.05507716049382717
train,img-109_jpg.rf.add373710d0d425bd9340c33878e7d42.txt,0,0.1986111111111111,0.6583333333333333,0.23333333333333334,0.13055555555555556,0.030462962962962966
train,img-10_jpg.rf.eaceaaa6f119cf6eb49edc1bc92efaa2.txt,0,0.5048611111111111,0.39375,0.22083333333333333,0.19583333333333333,0.04324652777777777
